Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
4.286e+06,1.504e-02,-2.738e-01,7.358e-07,-6.677e-06,2.446e-05,1.343e-06,9.970e-02,5.477e-03,1.472e-08,-1.335e-07,7.380e-08,-1.343e-06,9.051e-11,-2.747e+00,9.051e-11,-2.747e+00,3.000e-03,-2.722e-02,-8.807e-13,-1.965e-13
4.490e+06,1.370e-02,-2.613e-01,5.556e-07,-5.286e-06,2.028e-05,1.063e-06,9.973e-02,5.227e-03,1.111e-08,-1.057e-07,5.570e-08,-1.063e-06,5.665e-11,-2.620e+00,5.665e-11,-2.620e+00,2.732e-03,-2.599e-02,-5.527e-13,-1.175e-13
4.694e+06,1.252e-02,-2.499e-01,4.248e-07,-4.229e-06,1.696e-05,8.499e-07,9.975e-02,4.998e-03,8.496e-09,-8.456e-08,4.259e-08,-8.499e-07,3.622e-11,-2.505e+00,3.622e-11,-2.505e+00,2.498e-03,-2.487e-02,-3.540e-13,-7.185e-14
4.898e+06,1.149e-02,-2.394e-01,3.287e-07,-3.416e-06,1.430e-05,6.865e-07,9.977e-02,4.789e-03,6.575e-09,-6.834e-08,3.294e-08,-6.865e-07,2.360e-11,-2.400e+00,2.360e-11,-2.400e+00,2.293e-03,-2.383e-02,-2.313e-13,-4.492e-14
5.102e+06,1.059e-02,-2.298e-01,2.570e-07,-2.783e-06,1.214e-05,5.591e-07,9.979e-02,4.597e-03,5.137e-09,-5.568e-08,2.572e-08,-5.591e-07,1.566e-11,-2.303e+00,1.566e-11,-2.303e+00,2.113e-03,-2.289e-02,-1.536e-13,-2.860e-14
5.306e+06,9.784e-03,-2.210e-01,2.029e-07,-2.286e-06,1.037e-05,4.593e-07,9.980e-02,4.419e-03,4.056e-09,-4.575e-08,2.030e-08,-4.593e-07,1.056e-11,-2.214e+00,1.056e-11,-2.214e+00,1.953e-03,-2.201e-02,-1.038e-13,-1.856e-14
5.510e+06,9.069e-03,-2.127e-01,1.616e-07,-1.892e-06,8.910e-06,3.799e-07,9.982e-02,4.255e-03,3.229e-09,-3.785e-08,1.615e-08,-3.799e-07,7.225e-12,-2.131e+00,7.225e-12,-2.131e+00,1.810e-03,-2.120e-02,-7.110e-14,-1.223e-14
5.714e+06,8.429e-03,-2.051e-01,1.299e-07,-1.577e-06,7.700e-06,3.167e-07,9.983e-02,4.102e-03,2.598e-09,-3.156e-08,1.300e-08,-3.167e-07,5.015e-12,-2.055e+00,5.015e-12,-2.055e+00,1.683e-03,-2.044e-02,-4.943e-14,-8.195e-15
5.918e+06,7.855e-03,-1.980e-01,1.051e-07,-1.322e-06,6.689e-06,2.656e-07,9.984e-02,3.961e-03,2.105e-09,-2.647e-08,1.054e-08,-2.656e-07,3.526e-12,-1.983e+00,3.526e-12,-1.983e+00,1.569e-03,-1.974e-02,-3.479e-14,-5.566e-15
6.122e+06,7.338e-03,-1.914e-01,8.566e-08,-1.116e-06,5.838e-06,2.237e-07,9.985e-02,3.828e-03,1.713e-09,-2.230e-08,8.584e-09,-2.237e-07,2.509e-12,-1.917e+00,2.509e-12,-1.917e+00,1.465e-03,-1.908e-02,-2.474e-14,-3.822e-15
