Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
1.837e+06,4.628e+00,1.311e+00,-2.658e-02,4.312e-02,-2.872e-03,1.013e-02,7.443e-03,-2.623e-02,-5.315e-04,8.625e-04,-3.576e-02,-1.012e-02,6.904e-02,1.764e+02,6.904e-02,1.764e+02,6.884e-02,-1.116e-01,-2.307e-05,-4.584e-05
2.041e+06,4.699e+00,1.189e+00,-1.757e-02,3.248e-02,-1.869e-03,7.386e-03,6.024e-03,-2.378e-02,-3.513e-04,6.497e-04,-2.919e-02,-7.380e-03,4.532e-02,1.976e+02,4.532e-02,1.976e+02,5.659e-02,-1.046e-01,-1.493e-05,-2.283e-05
2.245e+06,4.751e+00,1.087e+00,-1.206e-02,2.499e-02,-1.270e-03,5.550e-03,4.976e-03,-2.174e-02,-2.413e-04,4.997e-04,-2.426e-02,-5.546e-03,3.096e-02,2.186e+02,3.096e-02,2.186e+02,4.727e-02,-9.787e-02,-9.576e-06,-1.206e-05
2.449e+06,4.791e+00,1.000e+00,-8.553e-03,1.959e-02,-8.926e-04,4.275e-03,4.180e-03,-2.001e-02,-1.711e-04,3.917e-04,-2.047e-02,-4.273e-03,2.186e-02,2.394e+02,2.186e-02,2.394e+02,4.004e-02,-9.168e-02,-6.209e-06,-6.701e-06
2.653e+06,4.822e+00,9.264e-01,-6.229e-03,1.561e-02,-6.460e-04,3.362e-03,3.561e-03,-1.853e-02,-1.246e-04,3.123e-04,-1.750e-02,-3.361e-03,1.588e-02,2.602e+02,1.588e-02,2.602e+02,3.434e-02,-8.604e-02,-4.099e-06,-3.890e-06
2.857e+06,4.847e+00,8.624e-01,-4.643e-03,1.263e-02,-4.790e-04,2.692e-03,3.070e-03,-1.725e-02,-9.286e-05,2.527e-04,-1.513e-02,-2.691e-03,1.180e-02,2.810e+02,1.180e-02,2.810e+02,2.975e-02,-8.095e-02,-2.761e-06,-2.346e-06
3.061e+06,4.866e+00,8.065e-01,-3.530e-03,1.036e-02,-3.627e-04,2.189e-03,2.674e-03,-1.613e-02,-7.061e-05,2.072e-04,-1.320e-02,-2.188e-03,8.958e-03,3.017e+02,8.958e-03,3.017e+02,2.602e-02,-7.634e-02,-1.896e-06,-1.463e-06
3.265e+06,4.883e+00,7.574e-01,-2.732e-03,8.593e-03,-2.797e-04,1.803e-03,2.350e-03,-1.515e-02,-5.463e-05,1.719e-04,-1.163e-02,-1.803e-03,6.920e-03,3.223e+02,6.920e-03,3.223e+02,2.295e-02,-7.218e-02,-1.328e-06,-9.389e-07
3.469e+06,4.896e+00,7.138e-01,-2.146e-03,7.204e-03,-2.192e-04,1.503e-03,2.082e-03,-1.428e-02,-4.293e-05,1.441e-04,-1.031e-02,-1.503e-03,5.430e-03,3.430e+02,5.430e-03,3.430e+02,2.038e-02,-6.841e-02,-9.459e-07,-6.185e-07
3.673e+06,4.907e+00,6.749e-01,-1.710e-03,6.097e-03,-1.742e-04,1.267e-03,1.857e-03,-1.350e-02,-3.419e-05,1.219e-04,-9.209e-03,-1.266e-03,4.320e-03,3.635e+02,4.320e-03,3.635e+02,1.822e-02,-6.498e-02,-6.851e-07,-4.170e-07
3.878e+06,4.917e+00,6.400e-01,-1.378e-03,5.205e-03,-1.402e-04,1.077e-03,1.666e-03,-1.280e-02,-2.757e-05,1.041e-04,-8.273e-03,-1.077e-03,3.480e-03,3.841e+02,3.480e-03,3.841e+02,1.638e-02,-6.187e-02,-5.038e-07,-2.870e-07
4.082e+06,4.925e+00,6.085e-01,-1.124e-03,4.478e-03,-1.141e-04,9.233e-04,1.504e-03,-1.217e-02,-2.247e-05,8.955e-05,-7.473e-03,-9.232e-04,2.835e-03,4.047e+02,2.835e-03,4.047e+02,1.481e-02,-5.902e-02,-3.757e-07,-2.012e-07
4.286e+06,4.932e+00,5.799e-01,-9.251e-04,3.879e-03,-9.379e-05,7.976e-04,1.364e-03,-1.160e-02,-1.850e-05,7.758e-05,-6.783e-03,-7.975e-04,2.332e-03,4.252e+02,2.332e-03,4.252e+02,1.345e-02,-5.641e-02,-2.838e-07,-1.435e-07
4.490e+06,4.938e+00,5.539e-01,-7.685e-04,3.382e-03,-7.781e-05,6.937e-04,1.243e-03,-1.108e-02,-1.537e-05,6.764e-05,-6.184e-03,-6.937e-04,1.936e-03,4.457e+02,1.936e-03,4.457e+02,1.227e-02,-5.401e-02,-2.170e-07,-1.040e-07
4.694e+06,4.943e+00,5.301e-01,-6.436e-04,2.966e-03,-6.510e-05,6.071e-04,1.137e-03,-1.060e-02,-1.287e-05,5.933e-05,-5.661e-03,-6.071e-04,1.621e-03,4.662e+02,1.621e-03,4.662e+02,1.124e-02,-5.180e-02,-1.677e-07,-7.637e-08
4.898e+06,4.948e+00,5.082e-01,-5.431e-04,2.616e-03,-5.489e-05,5.343e-04,1.044e-03,-1.016e-02,-1.086e-05,5.232e-05,-5.201e-03,-5.343e-04,1.367e-03,4.867e+02,1.367e-03,4.867e+02,1.033e-02,-4.976e-02,-1.309e-07,-5.683e-08
5.102e+06,4.952e+00,4.881e-01,-4.615e-04,2.318e-03,-4.660e-05,4.727e-04,9.623e-04,-9.762e-03,-9.230e-06,4.636e-05,-4.796e-03,-4.727e-04,1.161e-03,5.072e+02,1.161e-03,5.072e+02,9.531e-03,-4.787e-02,-1.032e-07,-4.279e-08
5.306e+06,4.956e+00,4.695e-01,-3.946e-04,2.064e-03,-3.982e-05,4.202e-04,8.897e-04,-9.390e-03,-7.893e-06,4.128e-05,-4.435e-03,-4.202e-04,9.925e-04,5.277e+02,9.925e-04,5.277e+02,8.818e-03,-4.612e-02,-8.207e-08,-3.258e-08
5.510e+06,4.959e+00,4.523e-01,-3.394e-04,1.845e-03,-3.423e-05,3.753e-04,8.250e-04,-9.045e-03,-6.789e-06,3.691e-05,-4.114e-03,-3.753e-04,8.534e-04,5.482e+02,8.534e-04,5.482e+02,8.182e-03,-4.448e-02,-6.580e-08,-2.506e-08
5.714e+06,4.962e+00,4.362e-01,-2.936e-04,1.657e-03,-2.958e-05,3.365e-04,7.671e-04,-8.725e-03,-5.871e-06,3.313e-05,-3.827e-03,-3.365e-04,7.379e-04,5.687e+02,7.379e-04,5.687e+02,7.613e-03,-4.296e-02,-5.316e-08,-1.945e-08
5.918e+06,4.964e+00,4.213e-01,-2.552e-04,1.493e-03,-2.570e-05,3.029e-04,7.152e-04,-8.426e-03,-5.104e-06,2.985e-05,-3.568e-03,-3.028e-04,6.413e-04,5.891e+02,6.413e-04,5.891e+02,7.100e-03,-4.153e-02,-4.325e-08,-1.524e-08
6.122e+06,4.967e+00,4.074e-01,-2.229e-04,1.350e-03,-2.244e-05,2.736e-04,6.683e-04,-8.147e-03,-4.458e-06,2.699e-05,-3.335e-03,-2.736e-04,5.599e-04,6.096e+02,5.599e-04,6.096e+02,6.638e-03,-4.019e-02,-3.543e-08,-1.203e-08
6.327e+06,4.969e+00,3.943e-01,-1.955e-04,1.224e-03,-1.968e-05,2.479e-04,6.258e-04,-7.886e-03,-3.911e-06,2.448e-05,-3.124e-03,-2.479e-04,4.911e-04,6.301e+02,4.911e-04,6.301e+02,6.219e-03,-3.894e-02,-2.921e-08,-9.574e-09
6.531e+06,4.971e+00,3.821e-01,-1.722e-04,1.114e-03,-1.733e-05,2.254e-04,5.873e-04,-7.641e-03,-3.445e-06,2.228e-05,-2.933e-03,-2.254e-04,4.325e-04,6.505e+02,4.325e-04,6.505e+02,5.839e-03,-3.776e-02,-2.422e-08,-7.674e-09
6.735e+06,4.972e+00,3.705e-01,-1.523e-04,1.016e-03,-1.532e-05,2.055e-04,5.523e-04,-7.411e-03,-3.046e-06,2.033e-05,-2.758e-03,-2.055e-04,3.825e-04,6.709e+02,3.825e-04,6.709e+02,5.492e-03,-3.665e-02,-2.019e-08,-6.192e-09
6.939e+06,4.974e+00,3.597e-01,-1.352e-04,9.299e-04,-1.359e-05,1.879e-04,5.203e-04,-7.194e-03,-2.704e-06,1.860e-05,-2.599e-03,-1.879e-04,3.394e-04,6.914e+02,3.394e-04,6.914e+02,5.176e-03,-3.560e-02,-1.693e-08,-5.029e-09
7.143e+06,4.975e+00,3.495e-01,-1.204e-04,8.529e-04,-1.210e-05,1.723e-04,4.910e-04,-6.990e-03,-2.408e-06,1.706e-05,-2.453e-03,-1.723e-04,3.022e-04,7.118e+02,3.022e-04,7.118e+02,4.886e-03,-3.461e-02,-1.426e-08,-4.108e-09
7.347e+06,4.977e+00,3.398e-01,-1.076e-04,7.842e-04,-1.081e-05,1.583e-04,4.641e-04,-6.796e-03,-2.152e-06,1.568e-05,-2.319e-03,-1.583e-04,2.700e-04,7.323e+02,2.700e-04,7.323e+02,4.619e-03,-3.367e-02,-1.207e-08,-3.375e-09
7.551e+06,4.978e+00,3.307e-01,-9.644e-05,7.227e-04,-9.686e-06,1.458e-04,4.393e-04,-6.614e-03,-1.929e-06,1.445e-05,-2.195e-03,-1.458e-04,2.420e-04,7.527e+02,2.420e-04,7.527e+02,4.374e-03,-3.278e-02,-1.026e-08,-2.788e-09
7.755e+06,4.979e+00,3.220e-01,-8.669e-05,6.674e-04,-8.705e-06,1.346e-04,4.165e-04,-6.440e-03,-1.734e-06,1.335e-05,-2.081e-03,-1.346e-04,2.175e-04,7.731e+02,2.175e-04,7.731e+02,4.148e-03,-3.193e-02,-8.759e-09,-2.314e-09
7.959e+06,4.980e+00,3.138e-01,-7.814e-05,6.177e-04,-7.845e-06,1.245e-04,3.954e-04,-6.276e-03,-1.563e-06,1.235e-05,-1.976e-03,-1.245e-04,1.961e-04,7.936e+02,1.961e-04,7.936e+02,3.939e-03,-3.113e-02,-7.508e-09,-1.931e-09
8.163e+06,4.981e+00,3.060e-01,-7.062e-05,5.727e-04,-7.089e-06,1.154e-04,3.759e-04,-6.119e-03,-1.412e-06,1.145e-05,-1.879e-03,-1.154e-04,1.772e-04,8.140e+02,1.772e-04,8.140e+02,3.745e-03,-3.037e-02,-6.460e-09,-1.618e-09
8.367e+06,4.982e+00,2.985e-01,-6.399e-05,5.320e-04,-6.422e-06,1.072e-04,3.578e-04,-5.971e-03,-1.280e-06,1.064e-05,-1.788e-03,-1.072e-04,1.605e-04,8.344e+02,1.605e-04,8.344e+02,3.565e-03,-2.964e-02,-5.579e-09,-1.362e-09
8.571e+06,4.983e+00,2.915e-01,-5.811e-05,4.951e-04,-5.831e-06,9.970e-05,3.409e-04,-5.829e-03,-1.162e-06,9.902e-06,-1.704e-03,-9.970e-05,1.458e-04,8.548e+02,1.458e-04,8.548e+02,3.398e-03,-2.895e-02,-4.834e-09,-1.151e-09
8.776e+06,4.984e+00,2.847e-01,-5.290e-05,4.615e-04,-5.307e-06,9.290e-05,3.253e-04,-5.694e-03,-1.058e-06,9.230e-06,-1.626e-03,-9.290e-05,1.327e-04,8.753e+02,1.327e-04,8.753e+02,3.242e-03,-2.828e-02,-4.203e-09,-9.764e-10
8.980e+06,4.984e+00,2.782e-01,-4.825e-05,4.309e-04,-4.840e-06,8.671e-05,3.107e-04,-5.565e-03,-9.651e-07,8.617e-06,-1.553e-03,-8.671e-05,1.210e-04,8.957e+02,1.210e-04,8.957e+02,3.097e-03,-2.765e-02,-3.666e-09,-8.316e-10
9.184e+06,4.985e+00,2.721e-01,-4.411e-05,4.029e-04,-4.424e-06,8.106e-05,2.970e-04,-5.442e-03,-8.822e-07,8.057e-06,-1.485e-03,-8.106e-05,1.106e-04,9.161e+02,1.106e-04,9.161e+02,2.961e-03,-2.705e-02,-3.207e-09,-7.108e-10
9.388e+06,4.986e+00,2.662e-01,-4.040e-05,3.773e-04,-4.051e-06,7.588e-05,2.842e-04,-5.324e-03,-8.080e-07,7.545e-06,-1.421e-03,-7.588e-05,1.013e-04,9.365e+02,1.013e-04,9.365e+02,2.834e-03,-2.647e-02,-2.814e-09,-6.096e-10
9.592e+06,4.986e+00,2.605e-01,-3.707e-05,3.538e-04,-3.717e-06,7.114e-05,2.723e-04,-5.211e-03,-7.414e-07,7.076e-06,-1.362e-03,-7.114e-05,9.295e-05,9.569e+02,9.295e-05,9.569e+02,2.715e-03,-2.591e-02,-2.476e-09,-5.246e-10
9.796e+06,4.987e+00,2.551e-01,-3.408e-05,3.322e-04,-3.417e-06,6.679e-05,2.610e-04,-5.102e-03,-6.816e-07,6.644e-06,-1.306e-03,-6.679e-05,8.544e-05,9.774e+02,8.544e-05,9.774e+02,2.604e-03,-2.538e-02,-2.184e-09,-4.528e-10
1.000e+07,4.987e+00,2.499e-01,-3.138e-05,3.123e-04,-3.146e-06,6.278e-05,2.505e-04,-4.999e-03,-6.276e-07,6.247e-06,-1.253e-03,-6.278e-05,7.868e-05,9.978e+02,7.868e-05,9.978e+02,2.499e-03,-2.487e-02,-1.931e-09,-3.921e-10
