Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
1.000e+01,2.500e+00,7.854e-08,2.500e+00,-9.982e-05,1.000e+00,-3.996e-05,5.000e-02,-1.571e-09,5.000e-02,-1.996e-06,1.000e+00,-3.990e-05,5.000e+01,3.142e-06,5.000e+01,3.142e-06,1.250e-01,-9.851e-21,1.250e-01,-9.982e-06
2.041e+05,2.375e+00,-1.115e-01,1.662e+00,-1.860e+00,7.350e-01,-7.484e-01,5.249e-02,2.230e-03,3.325e-02,-3.719e-02,6.022e-01,-7.341e-01,4.508e+01,-4.038e+00,4.508e+01,-4.038e+00,1.249e-01,-5.562e-04,-1.390e-02,-1.237e-01
4.082e+05,1.362e+00,3.431e-01,-6.350e-01,-2.106e+00,-8.045e-01,-1.343e+00,7.276e-02,-6.862e-03,-1.270e-02,-4.212e-02,-1.189e-01,-5.901e-01,1.812e+01,6.424e+00,1.812e+01,6.424e+00,1.015e-01,1.562e-02,-8.062e-02,5.349e-02
6.123e+05,1.850e+00,2.094e+00,-1.147e+00,-3.559e-01,-3.672e-01,2.233e-01,6.299e-02,-4.188e-02,-2.294e-02,-7.117e-03,-2.004e-01,-2.462e-01,5.040e+00,3.660e+01,5.040e+00,3.660e+01,2.043e-01,5.443e-02,2.378e-02,1.633e-02
8.163e+05,3.088e+00,2.364e+00,-5.459e-01,1.358e-01,-9.024e-02,1.131e-01,3.824e-02,-4.728e-02,-1.092e-02,2.717e-03,-1.477e-01,-1.115e-01,1.712e+00,6.394e+01,1.712e+00,6.394e+01,2.298e-01,-5.561e-02,5.592e-03,-2.966e-03
1.020e+06,3.779e+00,2.128e+00,-2.516e-01,1.512e-01,-3.344e-02,5.884e-02,2.442e-02,-4.256e-02,-5.031e-03,3.024e-03,-1.045e-01,-5.826e-02,7.156e-01,8.838e+01,7.156e-01,8.838e+01,1.829e-01,-1.089e-01,8.086e-04,-1.521e-03
1.224e+06,4.157e+00,1.864e+00,-1.275e-01,1.133e-01,-1.536e-02,3.416e-02,1.687e-02,-3.729e-02,-2.551e-03,2.267e-03,-7.615e-02,-3.397e-02,3.476e-01,1.113e+02,3.476e-01,1.113e+02,1.396e-01,-1.236e-01,6.845e-05,-5.782e-04
1.429e+06,4.383e+00,1.641e+00,-7.070e-02,8.110e-02,-8.070e-03,2.153e-02,1.235e-02,-3.283e-02,-1.414e-03,1.622e-03,-5.748e-02,-2.146e-02,1.882e-01,1.334e+02,1.882e-01,1.334e+02,1.080e-01,-1.236e-01,-3.157e-05,-2.293e-04
1.633e+06,4.528e+00,1.460e+00,-4.212e-02,5.853e-02,-4.652e-03,1.442e-02,9.432e-03,-2.919e-02,-8.424e-04,1.171e-03,-4.475e-02,-1.440e-02,1.105e-01,1.551e+02,1.105e-01,1.551e+02,8.532e-02,-1.184e-01,-3.304e-05,-9.861e-05
