Freq,Re(Av),Im(Av),Re(Ai),Im(Ai),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout)
Hz,,,,,W,W,W,W,Ohms,Ohms,Ohms,Ohms,V,V,V,V,A,A,A,A
1.000e+01,1.000e+00,-1.988e-03,1.000e+00,-1.985e-03,1.978e-02,-5.663e-08,1.978e-02,-7.865e-05,3.160e+02,9.048e-04,3.160e+02,9.048e-04,2.500e+00,-3.579e-06,2.500e+00,-4.974e-03,7.911e-03,-1.133e-08,7.911e-03,-1.572e-05
6.721e+03,2.396e-01,-9.732e-01,2.267e-01,-9.718e-01,1.981e-02,-2.565e-04,-1.777e-02,-8.754e-03,3.154e+02,4.087e+00,3.174e+02,-3.904e+00,2.502e+00,-1.619e-02,5.838e-01,-2.439e+00,7.918e-03,-5.125e-05,1.745e-03,-7.706e-03
1.343e+04,-8.843e-01,-4.555e-01,-8.965e-01,-4.549e-01,1.956e-02,-9.728e-05,1.153e-02,1.580e-02,3.195e+02,1.580e+00,3.127e+02,-1.912e+00,2.486e+00,-6.182e-03,-2.201e+00,-1.127e+00,7.867e-03,-1.956e-05,-7.062e-03,-3.561e-03
2.014e+04,-6.668e-01,7.593e-01,-6.364e-01,7.582e-01,2.015e-02,-4.741e-04,-3.519e-03,-1.985e-02,3.100e+02,7.363e+00,3.225e+02,-7.201e+00,2.524e+00,-2.968e-02,-1.660e+00,1.936e+00,7.986e-03,-9.394e-05,-5.011e-03,6.115e-03
2.686e+04,5.628e-01,8.123e-01,6.061e-01,8.111e-01,1.926e-02,-6.726e-04,-5.482e-03,1.849e-02,3.242e+02,1.118e+01,3.082e+02,-1.105e+01,2.467e+00,-4.307e-02,1.423e+00,1.980e+00,7.808e-03,-1.363e-04,4.843e-03,6.250e-03
3.357e+04,9.385e-01,-3.783e-01,9.133e-01,-3.778e-01,2.024e-02,-2.008e-04,1.431e-02,-1.431e-02,3.088e+02,3.099e+00,3.235e+02,-2.921e+00,2.529e+00,-1.254e-02,2.369e+00,-9.686e-01,8.003e-03,-3.970e-05,7.294e-03,-3.060e-03
4.028e+04,-1.109e-01,-9.901e-01,-1.901e-01,-9.887e-01,1.949e-02,-1.533e-03,-1.821e-02,7.272e-03,3.193e+02,2.494e+01,3.117e+02,-2.449e+01,2.483e+00,-9.751e-02,-3.720e-01,-2.448e+00,7.859e-03,-3.086e-04,-1.799e-03,-7.711e-03
4.699e+04,-9.924e-01,-8.503e-02,-1.000e+00,-8.491e-02,1.962e-02,-1.088e-05,1.934e-02,3.312e-03,3.185e+02,1.758e-01,3.135e+02,-2.496e-01,2.490e+00,-6.900e-04,-2.471e+00,-2.110e-01,7.880e-03,-2.184e-06,-7.883e-03,-6.669e-04
5.370e+04,-3.659e-01,9.511e-01,-2.644e-01,9.497e-01,2.034e-02,-1.939e-03,-1.757e-02,-1.062e-02,3.051e+02,2.953e+01,3.251e+02,-3.120e+01,2.538e+00,-1.207e-01,-8.138e-01,2.458e+00,8.032e-03,-3.820e-04,-1.761e-03,7.729e-03
