Freq,Re(Av),Im(Av),Re(Ai),Im(Ai),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout)
Hz,,,,,W,W,W,W,Ohms,Ohms,Ohms,Ohms,V,V,V,V,A,A,A,A
1.275e+05,5.714e-01,-5.668e+00,3.443e-01,-1.417e-01,-3.494e-03,-3.589e-03,-5.176e-03,9.279e-03,1.443e+02,4.602e+02,3.607e+02,6.747e+02,1.946e-01,-4.611e-01,-2.502e+00,-1.367e+00,3.892e-03,-9.221e-03,3.345e-05,-3.727e-03
1.342e+05,1.007e+00,-1.216e+00,9.561e-01,-3.039e-02,4.503e-02,-8.241e-02,-5.659e-02,-1.300e-01,4.923e+01,5.885e+01,5.465e+01,6.184e+01,1.864e+00,-1.105e+00,5.337e-01,-3.379e+00,3.728e-02,-2.211e-02,3.497e-02,-2.227e-02
1.409e+05,6.684e-01,4.149e+00,8.522e-01,1.037e-01,-6.110e-03,9.405e-03,-3.476e-02,-2.072e-02,1.093e+02,-2.934e+02,6.785e+01,-2.352e+02,3.573e-01,6.581e-01,-2.492e+00,1.922e+00,7.145e-03,1.316e-02,4.724e-03,1.196e-02
1.477e+05,-1.780e-01,6.391e+00,1.185e-01,1.598e-01,-5.967e-05,-6.639e-04,5.459e-04,6.484e-04,8.740e+02,1.011e+03,1.264e+03,-9.928e+02,1.232e-01,-1.347e-01,8.392e-01,8.112e-01,2.464e-03,-2.695e-03,7.224e-04,7.435e-05
1.544e+05,-8.886e-01,3.888e+00,-7.001e-01,9.720e-02,-1.215e-02,-1.799e-02,-5.348e-02,2.974e-02,6.257e+01,2.119e+02,1.001e+02,2.638e+02,4.887e-01,-9.201e-01,3.143e+00,2.718e+00,9.775e-03,-1.840e-02,-5.054e-03,1.383e-02
1.611e+05,-9.368e-01,-1.458e+00,-1.011e+00,-3.646e-02,2.427e-02,6.876e-02,-8.202e-02,9.804e-02,5.688e+01,-7.562e+01,4.889e+01,-7.039e+01,1.559e+00,1.103e+00,1.482e-01,-3.306e+00,3.117e-02,2.206e-02,-3.070e-02,-2.343e-02
1.678e+05,-2.969e-01,-5.734e+00,-5.992e-01,-1.434e-01,-5.538e-04,1.434e-03,-4.632e-03,-2.850e-03,4.600e+02,-7.436e+02,1.317e+02,-4.470e+02,1.568e-01,2.286e-01,1.265e+00,-9.671e-01,3.136e-03,4.573e-03,-1.224e-03,-3.190e-03
1.745e+05,5.565e-01,-5.900e+00,2.331e-01,-1.475e-01,-3.174e-03,-3.127e-03,-2.205e-03,6.941e-03,1.508e+02,4.901e+02,6.573e+02,8.498e+02,1.790e-01,-4.367e-01,-2.477e+00,-1.299e+00,3.579e-03,-8.735e-03,-4.542e-04,-2.564e-03
1.812e+05,1.009e+00,-1.906e+00,9.008e-01,-4.766e-02,4.896e-03,-6.820e-02,-1.164e-01,-6.445e-02,4.897e+01,9.212e+01,6.145e+01,1.026e+02,1.353e+00,-1.260e+00,-1.035e+00,-3.851e+00,2.707e-02,-2.519e-02,2.318e-02,-2.398e-02
1.879e+05,7.489e-01,3.399e+00,9.496e-01,8.497e-02,-8.013e-03,1.713e-02,-5.975e-02,-1.914e-02,8.801e+01,-2.169e+02,5.501e+01,-1.740e+02,5.219e-01,8.204e-01,-2.398e+00,2.388e+00,1.044e-02,1.641e-02,8.518e-03,1.647e-02
1.946e+05,-3.081e-02,6.359e+00,3.581e-01,1.590e-01,2.726e-04,-1.430e-04,4.629e-05,7.655e-04,1.907e+03,4.820e+02,3.258e+02,-7.434e+02,1.205e-01,-2.968e-02,1.850e-01,7.670e-01,2.409e-03,-5.936e-04,9.570e-04,1.705e-04
2.014e+05,-7.866e-01,5.025e+00,-4.688e-01,1.256e-01,-7.906e-03,-8.058e-03,-1.770e-02,2.152e-02,7.880e+01,3.068e+02,2.123e+02,4.791e+02,2.908e-01,-6.927e-01,3.252e+00,2.006e+00,5.816e-03,-1.385e-02,-9.857e-04,7.225e-03
2.081e+05,-1.010e+00,3.673e-01,-9.864e-01,9.181e-03,1.160e-01,-4.292e-02,9.922e-02,-8.571e-02,4.897e+01,1.773e+01,5.139e+01,1.814e+01,2.447e+00,-4.384e-01,-2.312e+00,1.342e+00,4.895e-02,-8.768e-03,-4.820e-02,9.098e-03
2.148e+05,-5.653e-01,-4.510e+00,-8.696e-01,-1.127e-01,-3.858e-03,5.951e-03,-2.365e-02,-1.547e-02,1.505e+02,-3.689e+02,6.503e+01,-2.509e+02,2.844e-01,5.232e-01,2.199e+00,-1.578e+00,5.687e-03,1.046e-02,-3.766e-03,-9.740e-03
2.215e+05,2.448e-01,-6.482e+00,-2.063e-01,-1.621e-01,-3.708e-04,-9.029e-04,1.580e-03,5.131e-04,5.801e+02,9.400e+02,7.267e+02,-1.000e+03,1.230e-01,-1.835e-01,-1.159e+00,-8.423e-01,2.460e-03,-3.670e-03,-1.102e-03,3.582e-04
2.282e+05,8.951e-01,-4.381e+00,5.810e-01,-1.095e-01,-1.161e-02,-1.401e-02,-3.750e-02,3.014e-02,6.148e+01,2.372e+02,1.430e+02,3.501e+02,4.057e-01,-8.633e-01,-3.419e+00,-2.550e+00,8.114e-03,-1.727e-02,2.824e-03,-1.092e-02
2.349e+05,9.833e-01,4.008e-01,1.013e+00,1.002e-02,1.079e-01,4.378e-02,8.879e-02,8.828e-02,5.171e+01,-1.985e+01,4.873e+01,-1.930e+01,2.368e+00,4.622e-01,2.143e+00,1.404e+00,4.736e-02,9.245e-03,4.787e-02,9.838e-03
2.416e+05,4.698e-01,4.915e+00,8.429e-01,1.229e-01,-2.271e-03,3.709e-03,-1.511e-02,-1.031e-02,2.121e+02,-4.677e+02,6.891e+01,-2.815e+02,2.279e-01,4.068e-01,-1.893e+00,1.312e+00,4.559e-03,8.136e-03,2.843e-03,7.418e-03
2.483e+05,-3.219e-01,6.511e+00,1.861e-01,1.628e-01,-8.167e-04,-1.210e-03,2.317e-03,4.082e-04,3.843e+02,8.171e+02,8.179e+02,-1.034e+03,1.268e-01,-2.386e-01,1.513e+00,9.024e-01,2.536e-03,-4.771e-03,1.249e-03,-4.751e-04
2.550e+05,-9.205e-01,4.353e+00,-5.717e-01,1.088e-01,-1.235e-02,-1.497e-02,-3.940e-02,3.119e-02,5.820e+01,2.296e+02,1.476e+02,3.526e+02,4.199e-01,-8.910e-01,3.492e+00,2.648e+00,8.399e-03,-1.782e-02,-2.862e-03,1.110e-02
2.618e+05,-9.898e-01,-2.335e-01,-1.009e+00,-5.837e-03,1.178e-01,2.715e-02,1.109e-01,5.551e-02,5.104e+01,-1.149e+01,4.911e+01,-1.129e+01,2.443e+00,2.779e-01,-2.353e+00,-8.454e-01,4.885e-02,5.558e-03,-4.926e-02,-5.893e-03
2.685e+05,-5.076e-01,-4.660e+00,-9.006e-01,-1.165e-01,-2.840e-03,4.673e-03,-1.964e-02,-1.249e-02,1.844e+02,-4.167e+02,6.063e+01,-2.509e+02,2.563e-01,4.558e-01,1.994e+00,-1.426e+00,5.126e-03,9.115e-03,-3.555e-03,-8.806e-03
2.752e+05,2.463e-01,-6.570e+00,-3.217e-01,-1.643e-01,-3.911e-04,-8.833e-04,2.284e-03,2.125e-04,5.706e+02,9.534e+02,3.832e+02,-8.255e+02,1.199e-01,-1.842e-01,-1.181e+00,-8.331e-01,2.398e-03,-3.684e-03,-1.376e-03,7.913e-04
